country,countryname,oecdmember,edate,date,party,partyname,parfam,candidatename,coderid,manual,coderyear,testresult,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,total,peruncod,per101,per102,per103_1,per103_2,per104,per105,per106,per107,per108,per109,per110,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per203,per204,per301,per302,per303,per304,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416_1,per416_2,per501,per502,per503,per504,per505,per506,per507,per601_1,per601_2,per602_1,per602_2,per603,per604,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per701,per702,per703_1,per703_2,per704,per705,per706,rile,planeco,markeco,welfare,intpeace
150,"Argentina",0,23/10/2011,201110,150025,"FpV Front for Victory",20,"Cristina Fernández de Kirchner",314,5,2015,.832,49.1,0,54.11,76,131,8,901,146,0,0,0,1.369863,1.369863,0,0,2.0547945,5.4794521,7.5342464,0,0,0,1.369863,4.1095891,0,0,0,0,0,0,0,.68493152,0,19.863014,0,0,0,0,2.0547945,0,1.369863,0,3.4246576,0,1.369863,0,2.0547945,0,1.369863,4.1095891,.68493152,.68493152,0,0,0,.68493152,1.369863,0,10.958904,4.1095891,0,4.1095891,0,.68493152,0,0,0,0,0,.68493152,0,5.4794521,0,.68493152,0,.68493152,0,0,0,6.1643834,0,2.0547945,0,0,0,1.369863,-8.904109,4.1095891,0,15.068493,2.0547945
150,"Argentina",0,23/10/2011,201110,150026,"FAP Broad Progressive Front",20,"Hermes J. Binner",314,5,2015,.832,12.5,0,16.81,14,131,8,901,536,2.0522387,0,0,.37313432,0,0,0,.93283582,.74626863,.74626863,0,0,.18656716,.18656716,9.1417913,0,.74626863,.18656716,.18656716,.37313432,4.8507462,0,4.477612,1.4925373,5.2238808,0,.37313432,0,0,0,0,2.238806,.74626863,2.4253731,0,0,0,3.3582089,.18656716,.5597015,6.529851,0,0,.74626863,0,0,1.4925373,.37313432,3.5447762,8.0223885,10.261194,0,6.3432837,0,1.6791044,0,0,0,0,.18656716,2.0522387,.37313432,6.529851,0,2.6119404,0,0,0,0,0,4.8507462,0,.74626863,0,0,.37313432,1.4925373,-23.880598,3.1716418,.74626863,18.283583,.93283582
150,"Argentina",0,23/10/2011,201110,150027,"Federal Commitment",20,"Alberto J. Rodriguez Saa",314,5,2015,.832,5.8,0,8,6,131,8,901,1927,2.1276596,0,0,.10378827,0,.72651792,0,.10378827,1.1935651,2.4909186,0,0,.57083547,.41515309,8.9257917,0,0,.8822003,2.1795537,0,2.7503891,0,9.807992,1.7644006,2.5428126,.15568241,.10378827,0,0,.051894136,.41515309,1.5568241,.51894134,.36325896,0,0,0,1.3492476,0,.051894136,6.8500261,0,0,2.0238712,0,0,3.5806954,6.1754022,3.476907,4.0477424,5.033731,.051894136,3.6844838,0,.83030617,.10378827,0,.36325896,1.0897769,0,10.430721,.51894134,1.1416709,0,.72651792,.051894136,.25947067,0,0,0,2.3352361,0,3.0098598,0,.051894136,.57083547,2.4390244,.10378788,.8822003,2.4390242,9.0814734,.10378827
150,"Argentina",0,23/10/2011,201110,150230,"Popular Front",20,"Eduardo Duhalde",314,5,2015,.832,3.7,1,5.86,3,131,1,901,108,.92592591,0,0,.92592591,0,0,0,0,0,0,0,0,1.8518518,.92592591,7.4074073,0,.92592591,.92592591,.92592591,0,1.8518518,0,.92592591,.92592591,0,0,0,0,0,0,0,0,.92592591,0,0,0,0,0,0,.92592591,3.7037036,0,0,0,0,0,0,0,1.8518518,.92592591,26.851852,0,4.6296296,0,4.6296296,1.8518518,0,0,3.7037036,0,0,.92592591,0,.92592591,.92592591,0,0,0,0,0,22.222221,0,.92592591,0,0,0,5.5555553,-50.925926,.92592591,0,27.777779,0
150,"Argentina",0,23/10/2011,201110,150301,"UCR Civic Radical Union",30,"Ricardo L. Alfonsín",314,5,2015,.832,4.9,0,11.15,5,131,1,901,195,.51282054,0,0,0,0,0,0,2.0512822,2.5641026,1.0256411,0,0,0,1.0256411,3.5897436,0,0,0,0,0,3.5897436,0,1.5384616,2.5641026,5.6410255,0,0,0,0,0,0,1.0256411,1.0256411,2.5641026,0,0,0,1.0256411,0,.51282054,7.1794872,1.0256411,0,.51282054,0,0,4.1025643,5.1282053,2.0512822,6.6666665,10.256411,0,8.7179489,0,3.5897436,0,0,0,0,.51282054,7.6923075,0,.51282054,0,.51282054,0,.51282054,0,0,0,1.5384616,0,2.0512822,0,.51282054,1.5384616,5.1282053,-13.846155,4.6153851,.51282054,16.923077,2.0512822
150,"Argentina",0,27/10/2013,201310,150025,"FpV Front for Victory",20,"",314,5,2014,.832,33.15,0,,132,257,8,901,51,1.9607843,0,0,3.9215686,1.9607843,0,0,0,0,3.9215686,0,0,0,5.8823528,5.8823528,0,3.9215686,0,0,0,0,0,0,0,11.764706,1.9607843,0,0,0,3.9215686,0,1.9607843,0,0,0,0,0,0,1.9607843,0,3.9215686,1.9607843,0,3.9215686,0,0,0,0,0,5.8823528,9.8039217,0,1.9607843,0,1.9607843,0,0,0,0,0,0,0,3.9215686,0,0,0,0,0,0,0,5.8823528,0,1.9607843,0,0,5.8823528,3.9215686,-3.9215689,1.9607843,3.9215686,15.686275,0
150,"Argentina",0,28/10/2013,201310,150026,"FAP Broad Progressive Front",20,"",314,5,2014,.832,0,1,,0,257,8,901,351,1.4245014,.28490028,0,0,.85470086,0,0,0,1.7094017,8.5470085,0,0,.28490028,1.7094017,7.1225071,0,1.1396011,2.2792022,.85470086,0,3.133903,0,.85470086,1.1396011,2.8490028,0,1.1396011,0,0,.28490028,.56980056,.85470086,.56980056,1.4245014,.28490028,0,0,7.4074073,0,1.4245014,3.9886041,.85470086,0,0,0,0,4.8433046,3.133903,.28490028,6.2678061,3.4188035,0,6.2678061,0,1.7094017,0,0,0,0,0,2.8490028,0,5.6980057,1.994302,.56980056,0,.56980056,0,0,0,1.994302,0,1.1396011,0,0,.28490028,5.9829059,-14.529914,2.8490028,.56980056,9.6866093,0
150,"Argentina",0,29/10/2013,201310,150301,"UCR Civic Radical Union",30,"",314,5,2014,.832,21.38,0,,54,257,1,901,106,2.8301888,0,0,0,0,0,0,0,.94339621,.94339621,0,0,1.8867924,4.7169809,12.264151,0,.94339621,0,3.7735848,0,3.7735848,0,2.8301888,6.6037736,.94339621,0,0,0,0,0,0,.94339621,.94339621,0,0,0,0,1.8867924,2.8301888,1.8867924,.94339621,0,0,0,0,0,0,.94339621,0,4.7169809,8.4905663,0,9.4339619,0,.94339621,0,0,0,0,0,10.377358,0,.94339621,0,0,0,.94339621,0,0,0,6.6037736,0,1.8867924,0,0,0,2.8301888,-16.037735,.94339621,0,13.207547,0
155,"Chile",10,14/12/1989,198912,155021,"Concert of Parties for Democracy",20,"Patricio Aylwin Azocar",313,5,2014,.773,51.27,0,55.17,59,120,8,901,1617,.061842918,.30921459,0,.37105751,0,2.1026592,1.3605442,.49474335,5.0711193,1.2987013,.49474335,0,0,2.2263451,4.0816326,0,.6802721,0,0,1.0513296,4.514533,.12368584,2.7210884,.061842918,.24737167,0,0,.18552876,3.3395176,1.4223871,1.2987013,.74211502,2.9684601,.18552876,3.030303,.18552876,1.7934446,0,.24737167,5.7513914,4.576376,1.0513296,.80395794,2.6592455,0,0,1.2987013,.98948669,4.2671614,8.5343227,3.8342609,.92764378,5.9987631,0,.061842918,0,0,0,.24737167,0,.92764378,0,1.4223871,.49474335,.61842918,0,.24737167,0,0,0,8.1632652,0,2.1645021,0,.30921459,.061842918,1.9171305,-17.068645,4.2053185,3.9579468,12.368584,1.8552876
155,"Chile",10,14/12/1989,198912,155061,"Democracy and Progress",60,"Hernan Büchi Buc",313,5,2014,.773,34.19,0,29.4,48,120,8,901,598,0,.66889632,.16722408,0,0,3.6789298,.50167227,1.0033445,6.6889634,.66889632,.50167227,.16722408,5.1839466,1.1705686,3.1772575,0,.33444816,.33444816,.16722408,.33444816,3.0100334,0,3.1772575,0,3.6789298,.50167227,0,.33444816,.83612043,.33444816,4.347826,4.6822743,.16722408,0,0,.16722408,1.6722409,.66889632,.16722408,2.173913,5.0167222,0,.16722408,4.5150499,0,0,1.5050167,.83612043,4.0133781,2.8428094,4.8494983,9.6989965,5.8528428,0,.83612043,0,0,0,2.173913,0,1.8394649,0,.66889632,0,0,0,0,0,0,0,1.6722409,0,1.1705686,0,.83612043,0,.83612043,20.735786,.16722408,8.8628759,7.6923075,1.6722409
155,"Chile",10,14/12/1989,198912,155620,"UCC Union of the Centrist Center",60,"Francisco Javier Errázuriz Talavera",313,5,2014,.773,,,15.43,,120,1,901,126,0,0,0,0,0,0,0,0,0,0,0,0,3.9682539,2.3809524,7.1428571,0,0,2.3809524,0,0,2.3809524,0,2.3809524,0,0,0,0,0,0,2.3809524,1.5873016,0,3.9682539,0,0,0,0,0,0,0,4.7619047,0,0,4.7619047,0,0,0,0,7.1428571,18.253969,11.111111,4.7619047,.79365081,0,.79365081,0,0,0,3.9682539,0,0,0,0,0,0,0,0,0,0,0,3.1746032,0,0,0,1.5873016,.79365081,9.5238094,-3.9682536,3.9682539,6.3492064,29.36508,0
155,"Chile",10,11/12/1993,199312,155021,"Concert of Parties for Democracy",20,"Eduardo Frei Ruiz-Tagle",313,5,2014,.773,55.3,0,57.98,69,120,8,901,2049,0,.14641288,0,0,0,.48804295,.29282576,.24402148,3.5627136,1.0248902,0,.048804294,.29282576,1.4153246,3.5139093,0,.29282576,.24402148,0,.78086871,4.1971693,0,6.9790139,.39043435,2.3914104,0,0,.14641288,.34163007,0,1.805759,.097608589,5.270864,.097608589,.097608589,0,1.8545632,.097608589,.34163007,3.9531479,8.8823814,0,.19521718,1.9521718,0,0,1.659346,1.6105417,3.7579308,8.63836,5.2220597,.87847733,8.1991215,0,0,0,0,.14641288,1.9521718,0,3.1234748,0,2.4402146,.19521718,0,.097608589,.048804294,0,0,0,2.7330406,0,2.0009761,0,.048804294,.39043435,5.4172769,-13.128356,5.3684726,3.7579308,13.86042,.53684723
155,"Chile",10,11/12/1993,199312,155061,"Union for Chile's Progress",60,"Arturo Alessandri Besa",313,5,2014,.773,37,0,24.41,50,120,8,901,793,0,.63051701,.1261034,0,0,2.6481714,0,.1261034,2.522068,0,.1261034,0,.5044136,.5044136,3.5308952,0,0,0,.3783102,0,2.0176544,0,7.1878939,.88272381,4.9180326,.2522068,0,.3783102,0,0,13.619167,1.261034,1.261034,.2522068,.1261034,0,4.5397224,0,0,2.522068,7.9445143,0,0,1.7654476,0,0,2.3959646,1.7654476,1.891551,4.1614122,3.6569986,3.9092054,4.5397224,0,0,0,0,0,3.783102,.1261034,4.1614122,0,.5044136,0,0,0,0,0,0,0,1.891551,0,5.044136,0,.3783102,0,1.7654476,24.842369,1.5132408,15.384615,7.8184109,.2522068
155,"Chile",10,12/12/1999,199912,155021,"Concert of Parties for Democracy",20,"Ricardo Lagos Escobar",313,5,2014,.773,,,51.3,,,8,901,912,0,.10964912,0,0,0,1.4254386,.76754385,.21929824,.32894737,.43859649,0,0,0,2.9605262,8.5526314,0,.10964912,.43859649,.10964912,.54824561,3.6184211,0,3.2894738,.87719297,2.3026316,.32894737,0,0,.32894737,0,.43859649,.87719297,5.372807,0,.65789473,0,.9868421,0,0,2.6315789,8.1140347,0,0,.87719297,0,0,.32894737,3.7280703,4.8245616,8.9912281,9.6491232,1.0964912,7.5657897,0,.65789473,0,0,0,2.5219297,0,4.1666665,0,1.8640351,0,.54824561,0,1.7543859,0,0,0,1.5350877,0,1.0964912,0,.21929824,.54824561,2.1929824,-15.460527,5.372807,1.3157895,18.64035,.9868421
155,"Chile",10,12/12/1999,199912,155061,"Alliance for Chile",60,"Joaquin Lavin Infante",313,5,2014,.773,,,48.7,,,8,901,1156,0,0,.25951558,0,0,3.8062284,0,0,2.4221454,.25951558,0,0,.43252596,.77854669,3.8927336,0,0,.25951558,.51903117,0,4.6712804,0,5.4498272,1.6435986,3.2871971,0,0,.17301038,0,.34602076,1.9031142,.08650519,1.1245675,0,.34602076,0,1.2975779,0,0,3.9792387,3.9792387,0,0,1.2975779,0,0,.51903117,3.5467129,6.3148789,7.6989617,9.083045,1.9896194,6.9204154,0,0,0,0,0,.9515571,0,4.6712804,0,1.2975779,0,.34602076,0,.51903117,0,0,0,4.1522493,0,3.2871971,0,1.6435986,.34602076,4.49827,-6.3148794,1.1245675,3.2006922,16.782007,.25951558
155,"Chile",10,11/12/2005,200512,155021,"Concert of Parties for Democracy",20,"Michelle Bachelet Jeria",313,5,2015,.773,51.76,0,45.96,65,120,8,901,2739,0,.4381161,0,0,0,.6936838,.9127419,.29207739,2.5556772,.40160644,.51113546,0,.18254837,1.3143483,3.6509676,0,.76670319,0,0,.18254837,3.6874771,0,6.8638191,.10952903,.4381161,.58415478,.036509674,0,1.1317999,.29207739,.036509674,4.7462578,9.1274185,.47462577,0,0,.76670319,0,.1460387,4.3446512,6.7542901,.36509675,0,1.679445,0,0,1.0587806,2.1540709,4.2716322,8.1781673,12.084702,.40160644,5.2208834,0,0,0,0,.1460387,0,0,3.7604966,0,.9127419,.83972251,.29207739,.073019348,1.241329,0,0,0,2.0810516,0,1.2048193,0,0,.1460387,2.4461482,-21.46769,9.9671412,1.7159547,20.262871,1.2048193
155,"Chile",10,11/12/2005,200512,155025,"PODEMOS Together we can do more for Chile",20,"Tomas Hirsch Goldschmidt",313,5,2015,.773,7.4,0,5.4,0,120,8,901,446,0,.22421524,0,1.7937219,.22421524,0,1.5695068,.89686096,.67264575,2.4663677,.22421524,.44843048,0,3.5874438,1.5695068,0,1.3452915,.89686096,0,2.2421525,2.2421525,0,0,.44843048,0,0,0,0,0,0,0,2.4663677,.89686096,0,.44843048,1.5695068,0,0,0,.22421524,2.690583,12.780269,3.3632288,0,0,0,0,2.690583,.22421524,5.1569505,8.9686098,0,5.8295965,0,0,0,.22421524,.22421524,0,1.3452915,.22421524,7.3991032,0,3.3632288,0,0,3.5874438,0,0,0,3.5874438,0,4.2600899,0,0,2.4663677,5.1569505,-39.6861,13.67713,0,14.125561,2.4663677
155,"Chile",10,11/12/2005,200512,155601,"UDI Independent Democratic Union",60,"Joaquin Lavin Infante",313,5,2015,.773,22.36,0,23.23,33,120,1,901,148,0,0,0,0,0,0,0,0,1.3513514,0,0,0,0,0,.67567569,0,0,0,0,0,2.0270271,0,2.0270271,.67567569,29.054054,0,0,0,0,0,0,0,.67567569,0,0,0,0,0,0,7.4324327,4.7297297,0,0,0,0,0,0,1.3513514,4.0540543,17.567568,4.7297297,0,9.4594593,0,0,0,0,0,0,0,2.0270271,0,3.3783784,0,0,0,2.0270271,0,0,0,.67567569,0,0,0,0,0,6.0810809,13.513514,.67567569,0,22.297298,0
155,"Chile",10,11/12/2005,200512,155602,"RN National Renewal",60,"Sebastian Piñera Echenique",313,5,2015,.773,14.12,0,25.41,19,120,1,901,1853,0,1.1332973,0,0,0,3.6157582,.32379925,.70156503,2.8602266,1.295197,.70156503,0,1.1332973,1.6729628,6.5299516,0,0,0,0,.053966541,3.3998921,0,8.8505125,8.3108473,.053966541,0,0,0,0,.91743118,4.1014571,.053966541,3.0760927,.21586616,0,0,1.6729628,0,.053966541,1.1872638,1.5110631,0,0,0,0,0,2.8062601,5.5045872,5.180788,2.6443605,5.7744198,3.7776577,6.260119,0,.10793308,0,0,0,.32379925,0,7.501349,0,.97139776,0,0,0,1.295197,0,0,0,.97139776,0,0,0,0,1.2412305,2.2126281,-1.7808964,3.2919588,4.1014571,8.4187803,1.0253643
155,"Chile",10,13/12/2009,200912,155021,"Concert of Parties for Democracy",20,"Eduardo Frei Ruiz-Tagle",313,5,2015,.773,42.3,1,29.6,54,120,8,901,997,0,0,0,0,0,.1003009,.1003009,.1003009,.60180539,.1003009,0,0,0,3.4102306,4.1123371,0,.1003009,.2006018,0,1.10331,1.5045135,0,2.4072216,1.2036108,6.6198597,0,0,0,0,.80240721,0,.60180539,9.3279839,0,0,0,0,0,0,5.315948,8.9267807,0,.1003009,1.0030091,0,0,.1003009,2.3069208,6.6198597,7.3219657,12.637914,1.3039117,6.3189569,0,0,0,0,0,0,0,2.6078234,.50150454,1.6048144,0,0,0,3.6108325,0,0,0,3.3099298,0,2.8084252,0,0,.90270811,.30090269,-20.461384,9.3279839,1.0030091,19.959879,.2006018
155,"Chile",10,13/12/2009,200912,155023,"New Majority for Chile",20,"Marco Enriquez-Ominami",313,5,2015,.773,4.6,0,20.13,0,120,8,901,579,0,0,0,0,0,0,0,0,.69084626,.86355788,0,0,0,2.5906737,7.2538862,0,0,0,0,.34542313,2.0725389,0,0,0,2.7633851,0,0,0,0,0,0,2.5906737,6.908463,2.2452505,0,0,0,0,0,0,2.9360967,0,.17271157,0,0,0,7.7720208,2.7633851,3.4542315,16.062176,12.262522,.51813471,6.0449052,0,0,0,0,0,0,2.5906737,2.5906737,2.0725389,.69084626,0,0,0,3.6269431,0,0,0,4.4905009,0,2.2452505,0,0,.86355788,.51813471,-29.015545,9.1537132,0,28.324697,0
155,"Chile",10,13/12/2009,200912,155025,"PODEMOS Together we can do more for Chile",20,"Jorge Arrate Mac-Niven",313,5,2015,.773,2,0,6.21,3,120,8,901,1104,0,.090579711,0,.54347825,2.2644928,0,3.0797102,0,.090579711,2.2644928,.45289856,0,0,1.8115942,2.807971,0,.090579711,0,0,3.2608695,2.7173913,0,1.7210145,1.8115942,1.0869565,0,0,0,.72463769,0,0,2.173913,9.23913,0,0,0,0,0,0,1.3586956,5.4347825,4.076087,6.0688405,.090579711,0,0,0,4.619565,6.7934785,7.246377,10.597826,0,5.7971015,0,0,0,0,0,0,1.3586956,0,3.6231885,.27173913,0,0,0,2.3550725,0,0,0,2.9891305,0,.99637681,0,0,0,.090579711,-41.757248,13.315217,.090579711,17.844204,3.0797102
155,"Chile",10,13/12/2009,200912,155061,"Coalition for Change",60,"Sebastian Piñera Echenique",313,5,2015,.773,43.4,0,44.06,58,120,8,901,1981,0,0,0,0,0,1.9687027,.3533569,0,2.7763755,1.0095911,.050479557,0,0,.80767292,3.2306917,0,.60575467,.10095911,0,.050479557,5.7041898,0,3.987885,.85815245,6.9661789,.20191823,0,0,0,.30287734,.50479555,4.0383644,4.1898031,.10095911,0,0,.3533569,0,0,5.5022717,10.853105,0,0,1.3629481,0,0,.30287734,3.180212,5.3508329,3.2811711,7.0166583,1.6153458,7.0166583,0,.050479557,0,0,0,1.5648662,0,4.8965168,0,0,0,0,.050479557,2.27158,0,0,0,2.27158,0,1.7163049,0,.20191823,1.2619889,2.0696619,-3.0287733,4.2907624,1.8677436,10.29783,.3533569
180,"Brazil",0,01/10/2006,200610,180230,"Coalition the People's Power",20,"Luiz Inácio Lula da Silva",318,5,2014,.79,,,46.61,,,8,901,563,1.2433393,0,0,1.598579,.71047956,1.0657194,0,.53285968,1.9538188,.88809949,.17761989,0,0,2.8419182,8.1705151,0,0,.71047956,0,0,3.552398,.71047956,3.1971581,3.7300177,.71047956,1.9538188,.17761989,0,0,.17761989,0,1.776199,2.3090587,1.0657194,.17761989,.53285968,.35523978,1.0657194,0,3.0195382,8.348135,.53285968,.17761989,2.1314387,0,0,3.7300177,3.0195382,2.6642983,6.7495561,8.348135,0,5.6838365,0,.35523978,0,0,0,.17761989,.35523978,4.0852575,.35523978,0,.17761989,2.3090587,0,.35523978,0,0,0,2.6642983,0,1.9538188,0,0,.35523978,1.0657194,-19.182949,3.9076376,2.1314387,15.097691,.53285968
180,"Brazil",0,01/10/2006,200610,180231,"Left Front",20,"Heliosa Helena ",318,5,2014,.79,,,6.85,,,8,901,133,0,0,0,3.0075188,9.0225563,0,.75187969,0,0,0,0,.75187969,0,0,6.7669172,0,0,3.0075188,.75187969,0,0,0,.75187969,12.030075,1.5037594,2.2556391,0,0,0,0,0,0,9.774436,0,0,0,0,1.5037594,.75187969,.75187969,0,3.7593985,3.7593985,0,1.5037594,0,0,1.5037594,0,13.533834,3.7593985,0,1.5037594,0,0,0,0,0,0,0,0,0,0,2.2556391,0,0,0,0,0,0,12.781955,0,2.2556391,0,0,0,0,-53.383457,13.533834,0,17.293232,.75187969
180,"Brazil",0,01/10/2006,200610,180310,"Coalition for a decent Brazil",30,"Geraldo Alckmin",318,5,2014,.79,,,41.64,,,8,901,1630,1.9018404,0,0,.061349694,0,1.1656442,.12269939,.061349694,1.1656442,.24539877,.061349694,0,.12269939,.36809817,2.3312883,0,0,0,.49079755,0,.55214721,0,6.7484665,6.01227,.36809817,0,.12269939,0,0,0,.30674848,3.4969325,1.9018404,1.1042944,0,.061349694,.49079755,2.5153375,0,9.4478531,16.13497,.061349694,.18404908,2.2699387,0,0,3.2515337,1.6564417,5.0306749,3.2515337,8.466258,0,4.8466258,0,.61349696,0,.061349694,0,0,0,3.98773,0,.92024541,0,.24539877,0,.061349694,0,0,0,3.5582821,.061349694,3.7423313,.061349694,0,.061349694,.24539877,-10.1227,3.0674846,2.5766871,11.717792,.18404908
180,"Brazil",0,03/10/2010,201010,180110,"Green Party",10,"Marina Silva",318,5,2014,.79,,,19.33,,,1,901,53,1.8867924,0,0,0,0,0,0,1.8867924,0,0,0,0,0,3.7735848,7.5471697,0,0,1.8867924,0,0,1.8867924,0,5.6603775,0,0,0,0,0,0,0,0,0,1.8867924,0,0,0,0,0,0,0,3.7735848,0,0,0,0,0,1.8867924,30.188679,1.8867924,5.6603775,9.4339619,0,11.320755,0,0,0,0,0,0,0,3.7735848,0,0,0,0,0,3.7735848,0,0,0,1.8867924,0,0,0,0,0,0,-28.301888,1.8867924,0,15.094339,1.8867924
180,"Brazil",0,03/10/2010,201010,180230,"For Brazil to keep on changing",20,"Dilma Rouseff",318,5,2014,.79,,,46.91,,,8,901,264,1.1363636,0,0,.75757575,1.5151515,1.1363636,0,1.5151515,4.1666665,.75757575,.75757575,0,.75757575,2.6515152,7.1969695,0,0,0,0,0,.75757575,0,1.5151515,1.1363636,6.060606,2.2727273,.37878788,0,0,0,0,1.5151515,.37878788,1.5151515,0,0,.37878788,0,0,3.409091,7.9545455,.75757575,.37878788,2.2727273,0,0,4.5454545,3.7878788,3.7878788,3.409091,10.984848,0,6.818182,0,2.2727273,0,0,0,0,0,3.7878788,0,1.5151515,.37878788,.37878788,0,0,0,0,0,3.030303,0,1.5151515,0,.37878788,0,.37878788,-15.530302,2.651515,2.2727273,14.393939,1.5151515
180,"Brazil",0,03/10/2010,201010,180310,"Brazil can do more",30,"José Serra",318,5,2014,.79,,,32.61,,,8,901,2911,5.2559257,.034352455,0,.10305737,0,.20611474,0,0,.20611474,.24046719,0,0,.27481964,.58399177,2.6451392,0,0,.10305737,.51528686,.068704911,1.4084507,.20611474,5.358983,1.7519753,.65269667,.27481964,0,0,0,0,.58399177,2.0611475,2.6451392,.82445896,0,.068704911,.48093438,3.5383029,.068704911,4.1909995,20.611473,.27481964,.24046719,.99622124,0,0,2.0611475,4.8436961,3.2978358,3.7787702,10.271384,.41222948,5.5994506,0,.65269667,0,0,0,.48093438,.10305737,4.0535898,.034352455,.75575405,0,.41222948,0,.37787703,.034352455,0,0,1.3053933,.10305737,3.2634833,0,.24046719,.75575405,.68704915,-12.057713,3.7444179,1.5802131,14.050155,0
