mleftid,mrightid,yhat
-1.5,-2.5,-0.111573
-1.5,-2,-0.0467045
-1.5,-1.5,0.018164
-1.5,-1,0.0830325
-1.5,-0.5,0.147901
-1.5,0,0.2127695
-1.5,0.5,0.277638
-1.5,1,0.3425065
-1.5,1.5,0.407375
-1.5,2,0.4722435
-1.5,2.5,0.537112
0,-2.5,0.281868
0,-2,0.257917
0,-1.5,0.233966
0,-1,0.210015
0,-0.5,0.186064
0,0,0.162113
0,0.5,0.138162
0,1,0.114211
0,1.5,0.09026
0,2,0.066309
0,2.5,0.042358
1.5,-2.5,0.675309
1.5,-2,0.5625385
1.5,-1.5,0.449768
1.5,-1,0.3369975
1.5,-0.5,0.224227
1.5,0,0.1114565
1.5,0.5,-0.001314
1.5,1,-0.1140845
1.5,1.5,-0.226855
1.5,2,-0.3396255
1.5,2.5,-0.452396